,VH,VV,Class
480,-14.970439,-7.435356,Bawang Putih
481,-13.90081,-9.081151,Bawang Putih
482,-15.186668,-8.157892,Bawang Putih
483,-13.122476,-6.914428,Bawang Putih
484,-4.752797599999999,2.2466266,Non Bawang Putih
485,-17.71884,-10.970515,Non Bawang Putih
486,-12.94869,-7.7645955,Bawang Putih
487,-14.484524,-7.6620407,Bawang Putih
488,-14.929569,-11.280443,Bawang Putih
489,-15.324953,-7.4672703999999985,Bawang Putih
490,-16.068386,-8.986925,Non Bawang Putih
491,-10.539751,-3.5909348,Non Bawang Putih
492,-14.05313,-8.866456,Bawang Putih
493,-9.941232,-5.283243700000001,Non Bawang Putih
494,-14.965918,-8.609289,Bawang Putih
495,-14.885548000000002,-8.642386,Bawang Putih
496,-6.2693048,2.1843565,Non Bawang Putih
497,-15.215289000000002,-8.484009,Bawang Putih
498,-13.135901,-8.984863,Bawang Putih
499,-17.146662,-11.020704,Bawang Putih
500,-14.506329999999998,-9.569767,Bawang Putih
501,-16.888641,-10.156246,Non Bawang Putih
502,-8.342129,-3.0498836,Non Bawang Putih
503,-18.108719,-11.274041,Non Bawang Putih
504,-16.714205,-8.716003,Bawang Putih
505,-10.892099,-4.4582690000000005,Non Bawang Putih
506,-3.8411093,2.9635823,Non Bawang Putih
507,-12.54016,-8.822992,Bawang Putih
508,-14.359406,-8.636356,Bawang Putih
509,-15.162043,-8.488647,Bawang Putih
510,-16.666439999999998,-8.638594,Non Bawang Putih
511,-14.464339,-10.402973,Non Bawang Putih
512,-14.807314000000002,-7.935510000000002,Bawang Putih
513,-9.993454,-3.955357,Non Bawang Putih
514,-12.4694195,-4.6053095,Non Bawang Putih
515,-13.53289,-8.894198,Bawang Putih
516,-18.471174,-11.677833,Non Bawang Putih
517,-13.73804,-8.46049,Bawang Putih
518,-13.0685835,-7.943657000000001,Bawang Putih
519,-7.217897,-4.549264,Non Bawang Putih
520,-12.67804,-3.2544706000000003,Non Bawang Putih
521,-13.768069,-6.3174367,Bawang Putih
522,-15.077706,-5.5225453,Bawang Putih
523,-14.572508,-8.947261,Non Bawang Putih
524,-12.650866,2.4069943,Non Bawang Putih
525,-14.965805,-9.597463,Non Bawang Putih
526,-10.564613,-3.2002738,Non Bawang Putih
527,-11.430252,1.3578593,Non Bawang Putih
528,-15.2013235,-10.8051195,Non Bawang Putih
529,-13.354526500000002,-9.235177,Bawang Putih
530,-16.588789000000002,-10.856141,Non Bawang Putih
531,-12.571446,-8.157167,Bawang Putih
532,-15.989391,-9.156423,Bawang Putih
533,-14.499521,-3.6213677,Non Bawang Putih
534,-11.15075,-3.1926649,Non Bawang Putih
535,-11.317082,-7.6884317,Bawang Putih
536,-5.4046965,2.1906664,Non Bawang Putih
537,-13.458276,-7.4825473,Bawang Putih
538,-13.962095,-7.482193,Bawang Putih
539,-14.753279999999998,-9.686266,Bawang Putih
540,-14.131531,-1.0719079,Non Bawang Putih
541,-17.511585,-10.356439,Non Bawang Putih
542,-16.066763,-10.417979,Non Bawang Putih
543,-11.800852,-7.437504,Bawang Putih
544,-15.067738,-9.449452,Non Bawang Putih
545,-18.08579,-9.479378,Non Bawang Putih
546,-15.663460999999998,-7.1729054,Bawang Putih
547,-16.09413,-7.058462599999999,Non Bawang Putih
548,-10.838662,-6.570812700000001,Non Bawang Putih
549,-14.413895000000002,-9.28075,Bawang Putih
550,-16.895903,-6.6572413,Bawang Putih
551,-14.705628,-8.612574,Bawang Putih
552,-14.140046,-8.9995,Bawang Putih
553,-12.75817,-7.655017,Bawang Putih
554,-12.386203,-2.574952,Non Bawang Putih
555,-15.126589,-10.437865,Bawang Putih
556,-15.288625,-9.051418,Non Bawang Putih
557,-15.801901,-8.100877,Non Bawang Putih
558,-12.09365,-8.076794999999999,Bawang Putih
559,-12.736644,-8.216703,Bawang Putih
560,-13.44806,-10.832297,Bawang Putih
561,-14.6273155,-8.813883,Bawang Putih
562,-15.823376,-11.302357,Bawang Putih
563,-17.403797,-11.43235,Non Bawang Putih
564,-12.467023,-0.6848698000000001,Non Bawang Putih
565,-14.736932,-8.488994,Non Bawang Putih
566,-14.754065,-9.416387,Non Bawang Putih
567,-13.515582,2.0481577,Non Bawang Putih
568,-14.295739,-7.7720637,Bawang Putih
569,-15.928828,-8.917111,Non Bawang Putih
570,-15.912776,-9.146605,Non Bawang Putih
571,-9.521639,-3.4861608,Non Bawang Putih
572,-14.351056,-8.212289,Non Bawang Putih
573,-15.493308,-8.585847,Non Bawang Putih
574,-13.864313,-7.362253,Bawang Putih
575,-15.427659,-9.129251,Bawang Putih
576,-6.473783,2.8339977000000003,Non Bawang Putih
577,-9.513473,-1.0557803999999995,Non Bawang Putih
